"region";"ålder";"kön";"2002";"2006";"2010";"2014"
"1262 Lomma";"totalt ålder";"kvinnor";9206;9822;10919;11527
"1263 Svedala";"totalt ålder";"män";9122;9517;9930;10137
"1263 Svedala";"totalt ålder";"kvinnor";9029;9471;9892;10111
"1264 Skurup";"totalt ålder";"män";6963;7341;7473;7576
"1264 Skurup";"totalt ålder";"kvinnor";6986;7362;7508;7591
"1265 Sjöbo";"totalt ålder";"män";8574;8991;9178;9378
"1265 Sjöbo";"totalt ålder";"kvinnor";8453;8730;8934;9037
"1266 Hörby";"totalt ålder";"män";6997;7294;7440;7476
"1266 Hörby";"totalt ålder";"kvinnor";6952;7246;7400;7451
"1267 Höör";"totalt ålder";"män";7048;7369;7732;7850
"1267 Höör";"totalt ålder";"kvinnor";7121;7408;7728;7920
"1270 Tomelilla";"totalt ålder";"män";6220;6350;6474;6538
"1270 Tomelilla";"totalt ålder";"kvinnor";6227;6369;6440;6469
"1272 Bromölla";"totalt ålder";"män";6031;6093;6144;6249
"1272 Bromölla";"totalt ålder";"kvinnor";5991;6052;6128;6151
"1273 Osby";"totalt ålder";"män";6356;6334;6356;6441
"1273 Osby";"totalt ålder";"kvinnor";6281;6300;6368;6387
"1275 Perstorp";"totalt ålder";"män";3394;3485;3619;3705
"1275 Perstorp";"totalt ålder";"kvinnor";3395;3413;3442;3469
"1276 Klippan";"totalt ålder";"män";7897;8105;8350;8491
"1276 Klippan";"totalt ålder";"kvinnor";7848;8001;8165;8242
"1277 Åstorp";"totalt ålder";"män";6622;6996;7465;7645
"1277 Åstorp";"totalt ålder";"kvinnor";6528;6889;7272;7416
"1278 Båstad";"totalt ålder";"män";6927;6986;7077;7130
"1278 Båstad";"totalt ålder";"kvinnor";7082;7184;7201;7289
"1280 Malmö";"totalt ålder";"män";128264;134626;146750;156602
"1280 Malmö";"totalt ålder";"kvinnor";137217;141618;152213;161505
"1281 Lund";"totalt ålder";"män";49550;51126;55084;57662
"1281 Lund";"totalt ålder";"kvinnor";50852;52160;55404;58306
"1282 Landskrona";"totalt ålder";"män";18865;19846;20769;21715
